no,facility,type,jigyosyo_cd,service_cd,vacancy,capacity,waiting_count,vacancy_date,public_value,checked_at_jst,feature_http_status,detail_http_status,status,error,feature_url,detail_url
386,至誠ホームオンニ,特別養護老人ホーム,1373003290-00,510,2,48,25,2026-09-02,2/48人,2026-09-21T04:21:18+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373003290-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373003290-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
387,吉祥寺ナーシングホーム,特別養護老人ホーム,1373301389-00,510,0,50,162,2019-09-03,0/50人,2026-09-21T04:21:21+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301389-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301389-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
388,ゆとりえ,特別養護老人ホーム,1373300209-00,510,1,30,245,2026-08-27,1/30人,2026-09-21T04:21:23+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300209-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300209-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
389,親の家,特別養護老人ホーム,1373300803-00,510,0,45,287,2026-07-01,0/45人,2026-09-21T04:21:25+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300803-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300803-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
390,武蔵野館,特別養護老人ホーム,1373300217-00,510,1,40,0,2025-07-22,1/40人,2026-09-21T04:21:27+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300217-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373300217-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
391,ケアコート武蔵野,特別養護老人ホーム,1373301728-00,510,0,72,226,2026-09-01,0/72人,2026-09-21T04:21:30+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301728-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301728-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
392,さくらえん,特別養護老人ホーム,1373301918-00,510,0,100,103,2026-09-17,0/100人,2026-09-21T04:21:32+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301918-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373301918-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
393,とらいふ武蔵野,特別養護老人ホーム,1373302478-00,510,0,0,172,2025-08-14,0/0人,2026-09-21T04:21:34+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373302478-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373302478-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
394,恵比寿苑,特別養護老人ホーム,1373600327-00,510,1,65,156,2026-09-04,1/65人,2026-09-21T04:21:36+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373600327-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373600327-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
395,弘済園,特別養護老人ホーム,1373600053-00,510,0,0,250,2017-07-20,0/0人,2026-09-21T04:21:38+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373600053-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373600053-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
396,みたか紫水園,特別養護老人ホーム,1373601820-00,510,4,120,150,2026-07-01,4/120人,2026-09-21T04:21:41+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373601820-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373601820-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
397,三鷹げんき,特別養護老人ホーム,1373602950-00,510,4,132,110,2026-09-07,4/132人,2026-09-21T04:21:43+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373602950-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373602950-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
398,ピオーネ三鷹,特別養護老人ホーム,1373602984-00,510,0,104,132,2026-09-03,0/104人,2026-09-21T04:21:45+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373602984-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1373602984-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
399,あゆみえん,特別養護老人ホーム,1372800225-00,510,2,168,0,2026-08-26,2/168人,2026-09-21T04:21:47+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800225-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800225-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
400,九十九園,特別養護老人ホーム,1372801439-00,510,0,100,13,2026-09-08,0/100人,2026-09-21T04:21:49+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372801439-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372801439-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
401,和楽ホーム,特別養護老人ホーム,1372800100-00,510,0,120,25,2026-07-01,0/120人,2026-09-20T19:15:44+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800100-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800100-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
402,青梅愛弘園,特別養護老人ホーム,1372800084-00,510,2,110,66,2026-09-16,2/110人,2026-09-20T19:15:48+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800084-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800084-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
403,第二青梅園,特別養護老人ホーム,1372800712-00,510,0,100,24,2017-07-07,0/100人,2026-09-20T19:15:51+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800712-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800712-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
404,青梅園,特別養護老人ホーム,1372800159-00,510,0,0,15,2016-08-15,0/0人,2026-09-20T19:15:53+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800159-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800159-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
405,青梅白寿苑,特別養護老人ホーム,1372800126-00,510,0,100,8,2023-07-27,0/100人,2026-09-20T19:15:55+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800126-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800126-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
406,塩船園,特別養護老人ホーム,1372801447-00,510,1,150,128,2026-09-04,1/150人,2026-09-20T19:15:57+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372801447-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372801447-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
407,やすらぎの家,特別養護老人ホーム,1372800290-00,510,2,100,68,2026-05-24,2/100人,2026-09-20T19:16:00+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800290-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800290-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
408,今井苑,特別養護老人ホーム,1372800217-00,510,2,80,0,2026-09-15,2/80人,2026-09-20T19:16:02+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800217-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800217-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
409,成蹊園,特別養護老人ホーム,1372800282-00,510,9,151,0,2018-07-25,9/151人,2026-09-20T19:16:04+09:00,200,200,ok,,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800282-00&ServiceCd=510&action_kouhyou_detail_feature_index=true,https://www.kaigokensaku.mhlw.go.jp/13/index.php?JigyosyoCd=1372800282-00&ServiceCd=510&action_kouhyou_detail_024_kihon=true
